00.033060,E,slurping,1
00.051318,G,slurping,1
00.051545,A,slurping,0
00.051613,I,slurping,1
00.051678,K,slurping,2
00.051745,C,slurping,2
00.061060,F,slurping,2
00.061098,H,slurping,0
00.061371,B,slurping,0
01.040000,E,swallowing
01.050031,J,slurping,1
01.060969,G,swallowing
01.060989,D,slurping,1
01.061002,A,swallowing
01.061026,I,swallowing
01.061046,K,swallowing
01.061090,C,swallowing
01.061119,F,swallowing
01.061221,H,swallowing
01.061447,B,swallowing
02.040140,E,idle
02.040162,E,slurping,2
02.050199,J,swallowing
02.061036,D,swallowing
02.061123,G,idle
02.061138,G,slurping,2
02.061151,A,idle
02.061161,A,slurping,1
02.061168,I,idle
02.061176,I,slurping,2
02.061183,K,idle
02.061208,K,slurping,0
02.061222,C,idle
02.061249,C,slurping,0
02.061299,F,idle
02.061328,F,slurping,0
02.061336,H,idle
02.061353,H,slurping,1
02.061518,B,idle
02.061538,B,slurping,1
03.040281,E,swallowing
03.050276,J,idle
03.050295,J,slurping,2
03.061213,D,idle
03.071964,G,swallowing
03.071977,A,swallowing
03.071994,I,swallowing
03.072004,H,swallowing
03.072016,B,swallowing
03.072027,K,swallowing
03.072051,F,swallowing
03.072071,C,swallowing
03.072117,D,slurping,2
04.040371,E,idle
04.040397,E,slurping,0
04.050509,J,swallowing
04.072055,G,idle
04.072072,G,slurping,0
04.072080,A,idle
04.072095,A,slurping,2
04.072106,K,idle
04.072116,K,slurping,1
04.072180,H,idle
04.072199,H,slurping,2
04.072208,B,idle
04.072240,B,slurping,0
04.072247,F,idle
04.072269,F,slurping,1
04.072276,I,idle
04.072291,I,slurping,1
04.072298,C,idle
04.082977,D,swallowing
04.117115,C,slurping,2
05.040490,E,swallowing
05.050588,J,idle
05.050606,J,slurping,0
05.072148,G,swallowing
05.072162,A,swallowing
05.072194,K,swallowing
05.072330,H,swallowing
05.072343,B,swallowing
05.072380,F,swallowing
05.072407,I,swallowing
05.083049,D,idle
05.083061,D,slurping,0
05.117296,C,swallowing
06.040583,E,idle
06.040606,E,slurping,1
06.050690,J,swallowing
06.072265,G,idle
06.072280,G,slurping,1
06.072288,A,idle
06.072298,A,slurping,0
06.072305,K,idle
06.072314,K,slurping,2
06.072406,H,idle
06.072423,H,slurping,0
06.072431,B,idle
06.072469,B,slurping,1
06.072478,F,idle
06.072496,F,slurping,2
06.072507,I,idle
06.072526,I,slurping,2
06.083142,D,swallowing
06.117376,C,idle
06.117390,C,slurping,0
07.040709,E,swallowing
07.050856,J,idle
07.050875,J,slurping,1
07.072359,G,swallowing
07.072397,A,swallowing
07.072420,K,swallowing
07.072517,H,swallowing
07.072562,B,swallowing
07.072577,F,swallowing
07.072608,I,swallowing
07.083213,D,idle
07.083227,D,slurping,1
07.117479,C,swallowing
08.040813,E,idle
08.040841,E,slurping,2
08.050963,J,swallowing
08.072514,G,idle
08.072530,G,slurping,2
08.072538,A,idle
08.072548,A,slurping,1
08.072554,K,idle
08.072564,K,slurping,0
08.072628,H,idle
08.072655,H,slurping,1
08.072663,B,idle
08.072695,B,slurping,2
08.072706,F,idle
08.072722,F,slurping,0
08.072729,I,idle
08.072748,I,slurping,0
08.083308,D,swallowing
08.117591,C,idle
08.117606,C,slurping,1
09.040936,E,swallowing
09.051507,J,idle
09.051528,J,slurping,2
09.072609,G,swallowing
09.072644,A,swallowing
09.072667,K,swallowing
09.072809,H,swallowing
09.072821,B,swallowing
09.072851,F,swallowing
09.072881,I,swallowing
09.083378,D,idle
09.083390,D,slurping,2
09.117687,C,swallowing
10.040978,E,idle
10.040999,E,slurping,0
10.051633,J,swallowing
10.072847,G,idle
10.072869,G,slurping,0
10.072877,A,idle
10.072887,A,slurping,2
10.072895,K,idle
10.072904,K,slurping,1
10.072964,H,idle
10.072981,H,slurping,2
10.072990,B,idle
10.073019,B,slurping,0
10.073027,F,idle
10.073051,F,slurping,1
10.073059,I,idle
10.073080,I,slurping,1
10.083479,D,swallowing
10.117968,C,idle
10.117983,C,slurping,2
11.041099,E,swallowing
11.051716,J,idle
11.051733,J,slurping,0
11.072968,G,swallowing
11.073002,A,swallowing
11.073040,K,swallowing
11.073163,H,swallowing
11.073177,B,swallowing
11.073212,F,swallowing
11.073242,I,swallowing
11.083550,D,idle
11.083564,D,slurping,0
11.118062,C,swallowing
12.041436,E,idle
12.041459,E,slurping,1
12.051832,J,swallowing
12.073045,G,idle
12.073062,G,slurping,1
12.073071,A,idle
12.073080,A,slurping,0
12.073154,K,idle
12.073166,K,slurping,2
12.073250,H,idle
12.073267,H,slurping,0
12.073276,B,idle
12.073307,B,slurping,1
12.073315,F,idle
12.073341,F,slurping,2
12.073353,I,idle
12.073374,I,slurping,2
12.083635,D,swallowing
12.118263,C,idle
12.118278,C,slurping,0
13.041577,E,swallowing
13.052436,J,idle
13.052476,J,slurping,1
13.073150,G,swallowing
13.073191,A,swallowing
13.073277,K,swallowing
13.073390,H,swallowing
13.073411,B,swallowing
13.073452,F,swallowing
13.073483,I,swallowing
13.083705,D,idle
13.083719,D,slurping,1
13.118358,C,swallowing
14.044918,E,idle
14.044951,E,slurping,2
14.052560,J,swallowing
14.073232,G,idle
14.073247,G,slurping,2
14.073255,A,idle
14.073264,A,slurping,1
14.073348,K,idle
14.073360,K,slurping,0
14.073487,H,idle
14.073505,H,slurping,1
14.073520,B,idle
14.073550,B,slurping,2
14.073561,F,idle
14.073582,F,slurping,0
14.073590,I,idle
14.073610,I,slurping,0
14.083799,D,swallowing
14.118641,C,idle
14.118655,C,slurping,1
15.045070,E,swallowing
15.052660,J,idle
15.052680,J,slurping,2
15.073321,G,swallowing
15.073335,A,swallowing
15.073459,K,swallowing
15.073589,H,swallowing
15.073623,B,swallowing
15.073661,F,swallowing
15.073695,I,swallowing
15.083872,D,idle
15.083886,D,slurping,2
15.118750,C,swallowing
16.047992,E,idle
16.048017,E,slurping,0
16.052778,J,swallowing
16.073407,G,idle
16.073422,G,slurping,0
16.073431,A,idle
16.073441,A,slurping,2
16.073591,K,idle
16.073613,K,slurping,1
16.073666,H,idle
16.073684,H,slurping,2
16.073692,B,idle
16.073720,B,slurping,0
16.073737,F,idle
16.073756,F,slurping,1
16.073764,I,idle
16.073784,I,slurping,1
16.083994,D,swallowing
16.118927,C,idle
16.118940,C,slurping,2
17.056995,E,swallowing
17.057011,J,idle
17.057032,J,slurping,0
17.073512,G,swallowing
17.073526,A,swallowing
17.076684,H,swallowing
17.076700,B,swallowing
17.076714,F,swallowing
17.076747,I,swallowing
17.076842,K,swallowing
17.084065,D,idle
17.084080,D,slurping,0
17.119065,C,swallowing
18.063995,E,idle
18.064025,E,slurping,1
18.064039,J,swallowing
18.073587,G,idle
18.073604,G,slurping,1
18.073612,A,idle
18.073622,A,slurping,0
18.076774,H,idle
18.076794,H,slurping,0
18.076809,B,idle
18.076818,B,slurping,1
18.076826,F,idle
18.076877,F,slurping,2
18.076890,I,idle
18.076911,I,slurping,2
18.076979,K,idle
18.077017,K,slurping,2
18.084177,D,swallowing
18.119147,C,idle
18.119166,C,slurping,0
19.073011,E,swallowing
19.073026,J,idle
19.073046,J,slurping,1
19.076882,H,swallowing
19.076896,B,swallowing
19.076990,F,swallowing
19.077017,I,swallowing
19.079017,K,swallowing
19.080990,A,swallowing
19.082969,G,swallowing
19.084348,D,idle
19.084362,D,slurping,1
19.119239,C,swallowing
20.080985,E,idle
20.081011,E,slurping,2
20.081023,J,swallowing
20.081044,H,idle
20.081073,H,slurping,1
20.081082,B,idle
20.081092,B,slurping,2
20.081100,F,idle
20.081110,F,slurping,0
20.081118,I,idle
20.081127,I,slurping,0
20.081135,K,idle
20.081161,K,slurping,0
20.081178,A,idle
20.081198,A,slurping,1
20.084866,G,idle
20.084898,G,slurping,2
20.084928,D,swallowing
20.119492,C,idle
20.119504,C,slurping,1
21.089029,E,swallowing
21.089051,H,swallowing
21.089066,B,swallowing
21.089079,F,swallowing
21.089097,I,swallowing
21.089112,K,swallowing
21.089128,A,swallowing
21.089141,G,swallowing
21.089152,D,idle
21.089190,D,slurping,2
21.089200,J,idle
21.089220,J,slurping,2
21.119591,C,swallowing
22.097018,J,swallowing
22.097037,F,idle
22.097048,I,idle
22.097059,K,idle
22.097079,E,idle
22.097082,A,idle
22.097097,E,slurping,0
22.097108,A,slurping,2
22.097120,G,idle
22.097136,G,slurping,0
22.097156,F,slurping,1
22.097163,H,idle
22.097197,H,slurping,2
22.097209,B,idle
22.097228,D,swallowing
22.097244,K,slurping,1
22.097251,I,slurping,1
22.097272,B,slurping,0
22.119696,C,idle
22.119734,C,slurping,2
23.105048,E,swallowing
23.105072,F,swallowing
23.105086,D,idle
23.105127,A,swallowing
23.105177,I,swallowing
23.105189,J,idle
23.105207,J,slurping,0
23.105225,D,slurping,0
23.105240,K,swallowing
23.105253,G,swallowing
23.105267,H,swallowing
